NAME,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,APPLYING_INSTITUTION__C,PROGRAM_COHORT__C,RECORDTYPEID,PROPOSAL_FUNDER__C
Stanford-India Biodesign,50000,Stanford-India Biodesign,Stanford University, ,2008-09-04,2008-10-17, , ,"Stanford University and the Government of India have launched the Stanford-India Biodesign (SIB) Fellowships. The goal of the Fellowships is to promote medical technology innovation and to create novel medical devices for the Indian market, with an emphasis on the needs of the poor. Housed jointly at Stanford University and in New Delhi, India, the Fellowships represent a first-of-its-kind collaboration between Stanford and two elite Indian institutions, The All India Institute of Medical Sciences (AIIMS) and Indian Institute of Technology (IIT) Delhi. Indian citizens with advanced degrees who have the ability and motivation to invent new medical technologies have been selected for the Fellowship. The first fellowships began in January 2008. Over the course of the fellowship, half of the time is spent at Stanford and the other half in India. Fellows work in a multi-disciplinary team with a combination of engineering, medical and business backgrounds. The team examines clinical needs within the Indian setting, identifying opportunities for medical technology innovation with a particular emphasis on the poor. Working closely with faculty at Stanford, AIIMS and IIT Delhi, the team invents, prototypes, develops and patents one or more new technologies and commences the development and commercialization in India.  Real-world  experts in the United States and India serve as mentors. Objectives:   Create, develop and commercialize medical technologies for India s poor   Develop a new innovation training model and promote its widespread use across India s academic institutions   Train the next generation of medical technology innovators in India",1005843,Not Accepted,5843-08,0017000001LSVwpAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Developing Rural Microenterprise Businesses and Technology for Sustainable Managed Energy and Water Systems in the Humid Tropics,50000,Developing Rural Microenterprise Businesses and Technology for Sustainable Managed Energy and Water Systems in the Humid Tropics,Purdue University-Main Campus, ,2008-09-18,2008-10-17, , ,"The increase in population and the decrease of arable land that produces food, feed and biofuel are limiting fact around the world.  These aspects become more important in the fragile humid tropics because the management of the environmental factors such as: water, soil, and crops in order to produce energy has not been completely developed. The development of rural microenterprise businesses and technology for sustainable managed energy and water systems is critical to address at this time.  Rural subsistence farmers have the necessity to generate excess production to increase monthly income. To solve their living necessities microenterprise businesses would generate a positive change through creating environmentally sound and economically feasible products for rural farmers. There is a lack of technology and science knowledge in this area. This grant supports Purdue University and the University of Florida working with EARTH University (Escuela de Agricultura de la Región Tropical Húmeda) in Costa Rica. The Burton Center of Entrepreneurship and the Global Hub will strengthen the outreach components for this grant.  This proposal focuses on environmental learning for both students and rural communities, developing business models and entrepreneurship abilities to improve rural community living. The objectives are:      Develop projects/products using EARTH s resources to explore ways to enhance sustainability of small agricultural microenterprises by capitalizing on product differentiation       Identify water and energy technologies for developing sustainable biofuel systems     Create prototypes to improve rural community technology that will be shared and networked for further global entrepreneurial collaborations   ",1005857,Invited Resubmit,5857-08,0017000001MBMb3AAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Optimizing the Concrete Biosand Household Filter Design and Operation,50000,Optimizing the Concrete Biosand Household Filter Design and Operation,Lehigh University, ,2008-09-25,2008-10-17, , ,"The biosand filter (BSF) is a small scale, intermittently-operated slow sand filter for point-of-use drinking water treatment.  Conventional BSFs are simple but large (0.3m x 0.3m x 0.9m, w x d x h) concrete containers filled with sand, gravel, and water.   Although the concrete BSF produces high quality drinking water, is easy to maintain, and is durable, the current filter design makes it extremely heavy (approximately 170 lbs), cumbersome, and costly for some of the poorest countries in the developing world.        The objectives of the proposed work are to:      1. Design and build two modified biosand filters: a 5-gallon  bucket  biosand filter, and a 2-litre (half gallon)  pitcher  or  jug  filter and test these designs against the large concrete biosand filter* for their efficacy in removal of turbidity, total coliforms, E. coli, MS2 coliphage, and Cryptosporidium parvum oocysts from raw drinking water supplies,      2. Develop information, education, and communication (IEC) materials to effectively transfer results to humanitarian organizations that assist in water treatment technology implementation in developing countries, and      3. Work with humanitarian organizations to develop standard operating procedures (SOPs) for biosand filtration and make these SOPs freely available for humanitarian use.      * a modified design in which the reservoir volume is proportional to the pore volume of the media.   ",1005868,Not Accepted,5868-08,0017000001LSVoHAAX,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Engineering a Sustainable Business Model Framework for Scalable Mobile Entrepreneurship in the Developing World,49673,Engineering a Sustainable Business Model Framework for Scalable Mobile Entrepreneurship in the Developing World,Dartmouth College,39443,2008-09-26,2008-10-22,2011-05-31,2009-05-01,"Africa is experiencing a mobile phone revolution. With a 5,000% subscriber growth rate between 1998 and 2003, the phenomenal mobile expansion has already led to a number of unforeseen, unorthodox uses of phones. However, even amidst the excitement of this expansion, there remains a dearth of second-tier growth in the mobile industry   specifically, the development of services leveraging the infrastructure deployed across the continent for socio-economic good.      The multi-disciplinary approach to engineering education is nascent in the developing world, where there is a lack of cross-talk between engineering disciplines, let alone consideration of entrepreneurship. What is needed is a skill-mixing partnership: an exchange of core competencies via a collaborative effort between multi-disciplinary, well resourced Western engineering students and bright, innovative African technologists. The mobile phone provides an excellent anvil for forging such a partnership due to the typically short product development cycle, low startup costs and the nascent nature of the field.       The sustainable vision conveyed in this proposal leverages the current underutilization of mobile phones by building bottoms-up applications based on existing user behavior, and in turn generating new ventures by student founders. The initiative will act as a conveyor belt for innovative mobile applications for socio-economic development.      Top three goals:      Provide US and international students with the opportunity to solve global problems by co-developing commercially-viable technology with hands-on implementation.      Develop a patentable prototype based on extensive development of a concept proposed in the grant s Idea Catalog.      Generate a complete business plan and roadmap for new venture creation.   ",1005871,Funded,5871-08,0017000001LSVvyAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
VR Low Cost Universal Socket Design for Amputees in the Third World Countries,50000,VR Low Cost Universal Socket Design for Amputees in the Third World Countries,Mercer University, ,2008-09-27,2008-10-17, , ,"Currently, there are about six million amputees in Vietnam. Many amputations occur because of the Vietnam War, diabetic infections, peripheral vascular occlusive diseases, diseases of the limb, and trauma. Most of the amputees are on crutches or dragged by others on roller seats. After the limb has been permanently removed, a person s quality of life is seriously altered because the mobility is no longer the same as before. Prosthetic limbs were invented to restore the limb to ultimately bring the mobility level closer to that before amputation. Due to excessive cost of the prosthetic devices, most of the people living in the third world countries could not afford to have prosthetic limbs. This proposal provides the structure of a new pre-made VR Universal Socket (VRUS) prosthetic design that is affordable by low income patients. The objectives of this proposal include:       Design, build and test the prototype of VRUS for the lower extremity amputees in the third world countries. The design and fitting method of the VRUS are different from the commercially available sockets at present. The VRUS is adjustable and pre-made in seven different sizes with increments of 5 mm to the successive sizes;      Apply for patent and license to produce the VRUS. Initially, patent and license application will be made in Vietnam. Later, it can be extended to other third world countries;      Manufacture and distribute the VRUS to the countries in need at low and affordable cost as well as provide technical assistance through distribution channels.   ",1005872,Not Accepted,5872-08,0017000001LSVzxAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
"Development of Automatic Power Switch to Change from Regular Power to Wind Power, or Solar Power as Needed to Save Energy for People Living in Poverty",50000,"Development of Automatic Power Switch to Change from Regular Power to Wind Power, or Solar Power as Needed to Save Energy for People Living in Poverty",Mercer University, ,2008-09-28,2008-10-16, , ,"The Mercer University save energy development team will focus on the cost-effective energy technologies that have the greatest potential to benefit the people living in poverty particularly in rural areas worldwide. This project will help to develop the solar power and wind power at low-cost for residential and commercial use. The top three objectives of this proposal include:        Design, build, and test an automatic power switch that will be used to switch from one form   of energy to another; in our case from electric power to solar power or wind power and back to electric power;    Design, build, and test appropriate controllers to convert solar and wind energies to DC power and store it a DC batteries; and     Design, build, and test reliable low-cost inverter to convert the stored DC power to AC power (115 or 230 volts).        To accomplish the above objectives, the Mercer University team will partner with Long Shenq Electronic Co., Ltd., located in Taiwan, specializing in manufacturing reliable low-cost DC to AC inverters with excellent quality as well as with Taiwan National Formosa University which has an excellent solar energy development research program for students in its master s and doctoral programs. The products developed in this project will be manufactured in Taiwan in order to reduce labor, production, and distribution costs and commercialized at low-cost to generate alternative energy sources for the people living in rural areas for their residential and commercial use.   ",1005873,Not Accepted,5873-08,0017000001LSVzxAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
A Marketplace-Training Center Model to Facilitate Economic Growth and Sustainable Skills,49988,A Marketplace-Training Center Model to Facilitate Economic Growth and Sustainable Skills,Columbia University in the City of New York, ,2008-09-29,2008-10-21, , ,"Rural villages in developing countries often have limited access to markets and training centers.  Sakyikrom is a typical rural Ghanaian town surrounded by satellite, subsistence farming villages.  Columbia University's Engineers Without Borders (CU-EWB) has developed a marketplace-training center model that will utilize locally grown bamboo to make the stalls and a rainwater harvesting system to supply potable water.  The model will illustrate innovative solutions to economic and health problems in developing communities.  The marketplace-training center s objectives are: 1) Economic: In order to sell products to the market, Ghanaian farmers in rural areas are required to travel great distances.  Building the marketplace and providing training skills will facilitate economic development and commerce of agricultural products from the villages; 2) Health: Like many developing communities, Sakyikrom currently has limited access to potable water.  The inclusion of the rainwater harvesting system addresses community health concerns by providing potable drinking water; 3) Innovation: For an admission fee, the training center will provide Information Technology training through established, in demand training programs.  Admissions fees will fund workshops that address local needs, such as how to increase agriculture production and transport it to market.",1005875,Not Accepted,5875-08,0017000001LSVo6AAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Affordable Solar Thermal Microgenerator Technology for Rural Cogeneration in Southern Africa/STG International,47031,Affordable Solar Thermal Microgenerator Technology for Rural Cogeneration in Southern Africa/STG International,Massachusetts Institute of Technology,47031,2008-09-30,2008-10-16,2010-04-30,2009-03-01,"There are 1.6 billion people worldwide who lack access to electricity or affordable energy solutions.  For those living in deeply rural or mountainous locations, Diesel generator sets, while inexpensive up-front, require costly fuel; photovoltaic panels have a high up-front cost and high risk of theft.  Our solar thermal technology, by lowering costs relative to these alternatives, can facilitate distributed electricity provision, which results in increased economic opportunity, extended waking hours for study and leisure, time saved from chores, and improved services from the business, heath and education sectors.  This directly translates into an overall reduction in poverty, better living conditions at rural institutions, and improved quality of life, while stimulating the local economy and providing jobs.  Indirectly, by generating power renewably, the proposed electrification scheme contributes to lowering the risks related to climate change and decreases brushwood collection and land degradation.  By using a technology transfer approach and supporting local business development, we aim to provide a sustainable, renewable, and affordable energy option for rural locations.  Working in conjunction with local partners, including the Government and National University of Lesotho, along with entrepreneurs and engineers, we intend to complete the following:   1. Installation of two pilot systems:  one at a rural health care center serving 50-80 patients/day, and one at a rural educational institution serving 200-400 students.   2. Technology transfer and training for Lesotho-based partners.   3. Completion of a viable business plan for a Solar ORC manufacturing facility within Lesotho to foster ongoing installations through market-based mechanisms.",1005878,Funded,5878-08,0017000001LSVuHAAX,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
High Efficiency Stove Microenterprise,41685,High Efficiency Stove Microenterprise,University of Colorado at Boulder,31185,2008-09-30,2008-10-17,2010-12-31,2009-02-01,"Areas throughout Africa are characterized by a lack of fuel for cooking. Supplies are especially scarce in more arid regions, forcing individuals to clear-cut tree stands; this degrades soil quality and stability while contributing to the deforestation that is prevalent in Rwanda. To alleviate this problem, students from the University of Colorado at Boulder designed and implemented a high efficiency stove project to better utilize limited resources and provide cleaner more efficient cooking conditions. After the success of this project and interest from Rwandan citizens, it is ready to be taken to the next level and converted to a sustainable microenterprise eventually led and owned by Rwandan citizens. This will not only alleviate much of the clear-cutting of trees, but increase the financial stability in Rwanda.",1005879,Funded,5879-08,0017000001LSW2dAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Engineering Innovators without Borders: Generating entrepreneurial opportunities for Indian villages with Appropriate Technologies,49350,Engineering Innovators without Borders: Generating entrepreneurial opportunities for Indian villages with Appropriate Technologies,Rowan University, ,2008-10-01,2008-10-16, , ,"The project titled  Engineering Innovators without Borders  seeks to establish entrepreneurship opportunities for the developing world. This has been done through student teams comprising both engineering and business majors at Rowan University. The first project undertaken through the program was redesign of a human powered grain crusher. The grain crusher being designed at Rowan University has undergone many revisions to make it more affordable and sustainable. It can be powered using a bicycle and therefore can utilize human energy for crushing grains efficiently. The specific outcomes that are produced as a result of projects through Engineering Innovators without Borders is to generate technological solutions to problems faced in the developing world using detailed opportunity recognition evaluations and development of prototypes. These prototypes are then turned over to communities in the developing world for manufacture, distribution and use. The projects are expected to generate entrepreneurial opportunities for the developing world, alleviate poverty and improve the quality of life. The bike powered grain crusher that has been developed will be adopted by the Dhan Foundation in India for manufacturing and piloting. We would like to obtain funds to make these projects a continuing effort by the engineering and business students at Rowan University for improvement of the current design, travel to developing communities for pilot study as well as to develop other appropriate technologies.",1005880,Not Accepted,5880-08,0017000001LSVorAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
