NAME,RECORDTYPEID,ALIAS__C,Zenn ID
International Rammed Earth Housing Project,012390000009qKOAAY,,NA
Sustainable Sanitation in Urban Slums (Sanergy),012390000009qKOAAY,,NA
Accelerating Innovation and Social Entrepreneurship through Creativity Capacity Building,012390000009qKOAAY,Accelerating Innovation and Social Entrepreneurship through Creativity Capacity Building,NA
Safe Agua Peru: Water System Innovations Breaking the Cycle of Poverty,012390000009qKOAAY,,NA
Anza Social Entrepreneurship Fellowship,012390000009qKOAAY,,NA
A Multi-Hazard-Resilient Residential Housing Model for Haiti: Rebuilding Communities and Livelihoods through Sustainable Partitioning (Engineering to Empower),012390000009qKOAAY,A Multi-Hazard-Resilient Residential Housing Model for Haiti: Rebuilding Communities and Livelihoods through Sustainable Partitioning (Engineering to Empower),NA
Engaging Ethiopian Students to Explore the Viability of Cyanobacterial Bio-fertilizer Production to Improve Soil Fertility and Crop Yields in Africa (Thin Air Solutions),012390000009qKOAAY,Engaging Ethiopian Students to Explore the Viability of Cyanobacterial Bio-fertilizer Production to Improve Soil Fertility and Crop Yields in Africa (Thin Air Solutions),NA
Increasing Smallholder Farmer Income through Appropriate Technology in the Jatropha Biofuel Value Chain in Guatemala,012390000009qKOAAY,Increasing Smallholder Farmer Income through Appropriate Technology in the Jatropha Biofuel Value Chain in Guatemala,NA
"Continuation and Sustainability in 2011/2012:  The Water, Sanitation, and Health and Hygiene Program (WASH) in Kibera, Kenya",012390000009qKOAAY,"Continuation and Sustainability in 2011/2012:  The Water, Sanitation, and Health and Hygiene Program (WASH) in Kibera, Kenya",NA
Velovations in Kenya: Co-Development to Sustainable Local Production [Baisikeli Ugunduzi],012390000009qKOAAY,Velovations in Kenya: Co-Development to Sustainable Local Production [Baisikeli Ugunduzi],NA
BioSolar Entrepreneurship: Environmental and Social Sustainability as Mutual Bootstrapping,012390000009qKOAAY,BioSolar Entrepreneurship: Environmental and Social Sustainability as Mutual Bootstrapping,NA
