NAME,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,APPLYING_INSTITUTION__C,PROGRAM_COHORT__C,RECORDTYPEID,PROPOSAL_FUNDER__C
DES Brand Revitalization,50000,DES Brand Revitalization,Arizona State University, ,2007-09-04,2007-10-03, , ,"The Arizona Department of Economic Security is interested in tapping into the resources the various Arizona State University campuses, colleges and schools can bring to their facilities management, knowledge transfer, and organizational management needs. Assistant Professor John Takamura from ASU met with the Department of Economic Security s Deputy Director of Operations and Special Projects Ms. Mary Gill and her key administrators from the offices of Facilities Management and Organization & Management Development.      The Arizona Department of Economic Security (http://www.azdes.gov/ASPNew/default.asp) otherwise known as the DES is made up of several departments each with separate and related areas of service, expertise and knowledge.  The history of the DES has been plagued by a severe lack of integration and cross-pollination between the various departments and workers.  The DES looks toward the College of Design at ASU for inspiration and benchmarking in fostering internal initiatives towards brand revitalization and optimum facilities design with the objective of fostering 1. departmental integration, 2. employee retention and 3. a revitalized brand.      The objective of this project will be to research DES customers and employees regarding the DES brand and its expression through facilities design. The ultimate goal of this project will be to revitalize the DES brand by providing a well managed blend of research and design utilizing a transdisciplinary team made up of Visual Communication, Industrial, and Interior design students and graduate student researchers. The final deliverable for the project will be a revitalized DES brand identity and a branded facilities lobby design concept.   ",1004861,Not Accepted,4861-07,0017000001LSVsUAAX,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
Lab on a Chip,50000,Lab on a Chip,Pratt Institute-Main, ,2007-09-06,2007-10-22, , ,"With over 40 million people infected worldwide and an estimated 5 million new incidences annually, HIV/AIDS remains one of the predominant public health issues of our time. With nearly 90% of the infected residing in developing countries and rural areas, a low-cost, rapid and point-of-care system for diagnosis and monitoring is critical. In many clinics in the developing world, patients are confronted with crowded facilities and often wait for days or weeks before receiving answers from their health care providers. By combining the high tech Lab on a Chip (LOC) diagnostic process with a simple to use, low cost, off the grid LOC processor we can provide access to sophisticated diagnostic testing in the most remote areas.      Funding will support:      -Design research & product development of two fully functional prototypes;      -follow-up trips to Rwanda;      -clinical testing expenses;      We will prototype a completely portable, highly efficient microfluidic device which utilizes the research being done at Columbia University for the counting of CD4+ T-cells. This relationaship between biomedical research and design innovation will leverage existing resources and relationships with global health care providers in Rwanda and address the preferences, needs and concerns of those at risk. Using observation techniques in the field will allow us to design with respect for existing systems and procedures, design with the context and end user in mind and the opportunity to influence the biomedical and mechanical engineers.  Our team will  design with, and not for  stakeholders in the developing world.          ",1004876,Not Accepted,4876-07,0017000001LSVvtAAH,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
Sustainable Technology-based Entrepreneurship for the Senegalese Market,50000,Sustainable Technology-based Entrepreneurship for the Senegalese Market,Pace University-New York,47198,2007-09-12,2007-10-19,2009-09-01,2008-05-01,"Africa has the fastest growing mobile phone market in the world but a limited access to the Internet and presence on the Web. Given these premises, it is more relevant for Africa to look at mobile phone technology than traditional  desktop  computers for bridging the digital divide. The project s goal is multidimensional in that it involves universities (Pace, Stony Brook and Thiès), a US NGO implemented in Senegal (National Council of Negro Women, NCNW), and local traditional businesses incubated in the Woman Business Center (WBC) of NCNW in Senegal. The goal of this project is to educate Senegalese students on the opportunities and protocols for exploiting ideas for creating technology-based start-ups corresponding to the reality and needs of the Senegalese market. The two target areas will be Web site design and mobile phone application development. Students and business owners will learn how to develop innovative products and / or practices for emerging markets in a cost-effective manner guided by informational resources and local entrepreneurial knowledge. NCNW WBC businesses will develop new business opportunities by integrating Web and mobile phone technology-based practices. The longer-term objectives of our work are to foster the adoption and extend our model to other contexts in Africa and Asia (e.g. Cambodia where we already have initiatives), and design and implement a mobile phone programming curriculum fostering entrepreneurship at the three institutions. In order to make a lasting impact we plan to mentor the Senegalese faculty on curriculum changes and research throughout and after the project end.",1004891,Funded,4891-07,0017000001LSVuEAAX,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
Using Indigenous Vegetations to Generate Safe Drinking Water,50000,Using Indigenous Vegetations to Generate Safe Drinking Water,University of Massachusetts-Lowell, ,2007-09-14,2007-10-03, , ,"This grant supports the development of a portable, ultra-low cost, environmentally-friendly, human-powered water filtration device.  The device uses indigenous vegetations as innovative filter media to produce safe drinking water for people living in Least Developed Countries (LDCs).  This device utilizes abundant natural resources to solve a rising global health crisis.  We will particularly investigate the applicability and viability of three vegetations as potential filter media, namely potato, yam, and coconut.  These vegetations are selected based on their abundant availability in numerous LDCs.  In addition to providing safe drinking water to people living in LDCs, this device can also provide emergency or temporary drinking water relief for government agencies dealing with disasters or homeland security, as well as for military and civilian recreation applications.  With vast number of applications, this device presents enormous entrepreneurial opportunities.  This project also supports various educational activities at UMass Lowell.",1004897,Not Accepted,4897-07,0017000001LSW2YAAX,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
Eco-Casa: A New Approach for the Arizona-Sonora Border,49990,Eco-Casa: A New Approach for the Arizona-Sonora Border,University of Arizona, ,2007-09-19,2007-10-17, , ,"The Eco-Casa Project brings together proven technologies for home construction, solar cooking and heating, efficient wood combustion, composting toilets, and water harvesting that use locally-available materials, require fewer raw materials and less energy, and are less expensive than conventional approaches. It integrates these technologies in a unique way to create a prototype housing structure that functions as a complete system and is thermally efficient, appropriate to Nogales, Sonora/Arizona, low cost, safe, and secure. The Project utilizes a participatory research and outreach model developed and tested in prior projects as well as the information gained from the investigations and evaluations that were central to those projects. Through hands-on design, planning, and construction workshops, the Eco-Casa Project engages community residents and leaders with faculty and students in engineering, business, architecture, planning, and social science at the Instituto Tecnológico de Nogales and the University of Arizona, and with business leaders and community developers from Nogales, Sonora and Tempe, Arizona. It utilizes a process that will result in the construction of a prototype house that will serve as the basis for a local enterprise and as a learning center where future students can test and demonstrate new technologies they have developed. The ultimate goal of the Project is to develop a comprehensive approach to housing construction that can be replicated elsewhere in Nogales, in other border communities, and in urban neighborhoods across the globe.",1004905,Invited Resubmit,4905-07,0017000001LSW1PAAX,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
Sustainable Hazard-Resistant Construction Using Indigenous Materials and Practices,30636,Sustainable Hazard-Resistant Construction Using Indigenous Materials and Practices,University of Pittsburgh-Pittsburgh Campus, ,2007-09-25,2007-10-17, , ,"This proposal seeks to lay the foundation for long-term sustainable collaboration involving many disciplines including policy development, economics and pedagogy. Successful collaboration will result in regular exchange of students and professionals. The described vision of local rural-based sustainable development will serve as a model for global engineering endeavors underlying global issues for North American students and focusing on the development of sustainable industry centered on bamboo construction for the Himalayan communities involved. The proposed activities will be focused toward developing demonstration projects highlighting the use of bamboo and bamboo-masonry structures designed for hazard resistance. Within the scope of this proposal, the research team will travel to the PAHAR Center in North-East India to establish the regional state of practice and to participate in a workshop whose aim is to establish formal collaboration and engage in initial technology transfer.",1004911,Not Accepted,4911-07,0017000001MBMT1AAP,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
"Development and Pilot Implementation of an Entrepreneurial Opportunity based on Low Cost, Point of Use Ultraviolet Water Sterilization Systems for South American Countries",42268,"Development and Pilot Implementation of an Entrepreneurial Opportunity based on Low Cost, Point of Use Ultraviolet Water Sterilization Systems for South American Countries",Rochester Institute of Technology, ,2007-09-28,2007-10-19, , ,"Worldwide, one person in six does not have access to improved drinking water. Waterborne illnesses associated with unsafe drinking water and poor sanitation represent a major cause of death in the developing world. Each of the eight United Nations Millennium Development Goals can, in part, be addressed by improving the quality of the water available to people in developing areas. The objective of the work proposed here is to form a multidisciplinary team that will (1) redesign and further develop a series of point of use Ultraviolet (UV) water disinfection devices suitable for use in developing nations, and (2) propose and pilot test the creation of locally based microenterprises that will manufacture, demonstrate, distribute, and service the devices. The intent is for the team to enhance a proven concept and make it cheaper to manufacture, easier to service, more robust in operation, compatible with a variety of regionally available energy sources, and more environmentally benign. Based on a refined and robust product design, the team can then evaluate the commercial feasibility of the product and develop a set of business plans based on various contextual assumptions. A model for introducing the devices to user populations and gaining their acceptance will be pilot tested. The development of an effective, affordable, and easily operated water sterilization system will be of immense benefit to many in developing areas. Additionally, by designing the units so that they can be made from locally available materials, labor and capital, a positive economic impact can be made.",1004927,Invited Resubmit,4927-07,0017000001LSVoRAAX,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
Sustainable Agricultural Entrepreneurship in the Tropics,50000,Sustainable Agricultural Entrepreneurship in the Tropics,Purdue University-Main Campus, ,2007-10-01,2007-10-19, , ,"Sustainable Agricultural Entrepreneurship in the Tropics will support US students working with EARTH Universidad s students (Escuela de Agricultura de la Región Tropical Húmeda) in Costa Rica to build successful entrepreneurial projects that promote rural community development.  This relationship will foster partnerships with EARTH, where entrepreneurships is an integral part of their institutions mission..  EARTH s holistic educational model supports the NCIIA goals including sustainable technology entrepreneurship for the benefit of people living in poverty, because the model includes four general areas of focus: social and environmentally responsibility, entrepreneurial mentality, ethics and positive values, and technical and scientific knowledge through helping with community development and service learning.  Most US institutions do not include these 4 focal areas; therefore, this relationship is critical for our youth to become exposes to this experiential learning environment.. The mission is to have educational training and communication that fosters improving environmental learning, increased understanding of food production systems and entrepreneurship to improve community living.  The following are objectives:   o Develop International Curricula for Lessons of Sustainable Agricultural Entrepreneurship (Theory and Practice of Project Design)   o Create undergraduate research projects that explore ways to enhance sustainability of small and part-time agricultural enterprises by capitalizing on product differentiation and commodity based marketing practices through experiential learning   o Expand ongoing partnerships that benefit rural communities living in poverty to improve crop improvement for the benefit of human nutrition   ",1004930,Not Accepted,4930-07,0017000001MBMb3AAH,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
"Development of Cement Product for Heavy Metal Containment, Mongolia",49983,"Development of Cement Product for Heavy Metal Containment, Mongolia",Ohio Northern University, ,2007-10-02,2007-10-18, , ,"The goal of this project will be the development of a prototype process and product using cement mortar (a basic ingredient of concrete) and Carbon Nanotube (CNT) technology for the ultimate containment and disposal of the contaminated sands which are currently being dumped in the environment. We hypothesize that the CNTs will reduce the porosity of the resultant cement-sand mortar mixture and will improve the containment of heavy metals while maintaining a lightweight cement mixture with improved compressive strength characteristics in the resultant mortar  which has been shown by previous research to be affected by high levels of heavy metal containment  This project will build on relationships established and nurtured by the PI and Co PI over the past decade among Mongolian University for Science and Technology (MUST), South Dakota School of Mines and Technology (SDSMT), and Ohio Northern University (ONU).  Bruce Berdanier and MR Hansen have been collaborating for over eight years on research for heavy metal containment and ultimate disposal in cement mortars and concrete while working with professors and students at MUST, SDSMT, and ONU to develop international research and service opportunities.   The NCIIA Sustainable Visions project for Erdenet, Mongolia will build on these relationships to initiate the development of a new product that solves the technical environmental issues currently caused by the disposal of waste sand slurries laden with heavy metals from the processing of copper ores while creating an improved building product using local materials that can be marketed widely in a developing economy.",1004936,Not Accepted,4936-07,0017000001LSVwKAAX,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
International Partnership on Safe Water Technology for Rural Communities in Developing countries,50000,International Partnership on Safe Water Technology for Rural Communities in Developing countries,Savannah State University,50000,2007-10-02,2007-10-19,2010-12-31,2008-02-01,"Raw water and effluent treatment technologies developed for advanced industrialized economies are often not sustainable for developing economies rural communities due to cost factors, availability of spare parts, and limitations in the expertise and skill base. There is therefore a challenge for the scientific community to come up with appropriate technologies for potable water provision and effluent treatment suitable for developing economies  rural communities with limited expertise and skill base, as well as limited ability to pay high equipment costs.  An effort to address this problem was launched in South Africa seven years ago. Using indigenous raw materials and parts developed at a South African University, a capillary ultrafiltration (CUF) system, which overcomes some of the factors that inhibit the adoption of conventional water treatment technologies in African countries and other developing economies has been developed by a consortium of water technology groups from South Africa and the United States. For rural and farm communities, however, the low cost South African system will still be  a pie in the sky.  Majority of these communities are off-grid and thus can not use systems powered by conventional electricity.  The three main objectives of the project we propose are to continue the development of the South African CUF system, modifying it for off-grid application; (2) to develop marketing/distribution plan that will enable rural poor to access the system; and (3) to develop training programs for rural end-users, research students, and water supply personnel in a capacity building effort in Southern Africa sub-region.",1004938,Funded,4938-07,0017000001LSW17AAH,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
Modular Power Delivery Systems for Agriculture Related Production,50000,Modular Power Delivery Systems for Agriculture Related Production,Washington State University, ,2007-10-02,2007-10-18, , ,"The purpose of this project is to enable interdisciplinary teams of undergraduate students from Washington State University collaborating with students at Bunda Agricultural College in Malawi to design, develop, and implement a working prototype and corresponding business plan for a mobile, lightweight, inexpensive modular bicycle-based power delivery system. This system will be able to drive various agricultural-based production equipment, such as a water pump, grain grinder, electrical generator, and other production devices. Societal benefits of this project will be reflected in increased agricultural productivity and subsequent health benefits from increased food source availability. Positive economic impact will result from enterprise development as equipment modules are produced locally in poverty stricken countries where they are used.      Utilizing a collaborative partnership (WSU, Bunda Agricultural College, Total Land Care, and Village Bicycle Project) in the United States and Malawi, we will develop a system to mass produce the modular power delivery systems for widespread use throughout Africa and other parts of the world. Immediate objectives include:     Promote entrepreneurial education and commitment to social responsibility through intercultural and interdisciplinary collaboration by students who will apply technological innovation in the prototype creation and sustainable business model for agricultural communities.     Promote strengthening of existing relationships and leveraging of new partnerships to create sustainable infrastructure allowing production to extend beyond Malawi.     Promote economic improvement through outreach training in Malawi by use of this model for entrepreneurial development and outcomes of increased agricultural production.     Develop a process model for replication in future collaborations.   ",1004939,Not Accepted,4939-07,0017000001LSVs1AAH,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
GlobalResolve:  Starting a Gelfuel Business in Rural Ghana,50000,GlobalResolve:  Starting a Gelfuel Business in Rural Ghana,Arizona State University,49468,2007-10-03,2007-10-19,2009-09-01,2008-02-01,"Global Resolve, a social entrepreneurship program at Arizona State University, respectfully requests a Sustainable Vision grant of $50,000 to support the creation of a replicable model for a village-based entrepreneurial venture in smokeless stoves to be prototyped for residents of Domiabra, Ghana.  With more than 2 million children in the developing world dying every year from acute respiratory lung infections caused by fumes from indoor cooking fires, the development of this prototype and accompanying business plan have the potential to make dramatic public health, social, and economic improvements for Domiabra and surrounding communities..      A partnership with Kwame Nkrumah University of Science and Technology in Kumasi, Ghana, and the village chief and elders in Domiabra, this project has the primary objectives to:        design and test a gelfuel generator and companion smokeless stove that accommodate the needs of Domiabra in terms of cost, available resources, fabrication capabilities, and business value;        deliver a working prototype to Domiabra and partner with residents in setting up fabrication and distribution of the products; and        assist Domiabra residents in the start-up of a business that will continue to develop the gelfuel and smokeless stoves.        Because the Sustainable Vision program supports the creation of US and international initiatives that define replicable models for effective and sustainable technology entrepreneurship through innovative collaborations, it is our sincere hope that the NCIIA will view this project as a natural extension of its efforts and respond favorably to this request.   ",1004941,Funded,4941-07,0017000001LSVsUAAX,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
Battery Certification Program for Lead Battery Manufacturing in Vietnam,49941,Battery Certification Program for Lead Battery Manufacturing in Vietnam,The University of Tennessee,49941,2007-10-04,2007-10-19,2009-05-31,2008-03-01,"Lead batteries are used to store power from environmentally preferable energy sources including electric vehicles, small-scale solar and wind power.  However, lead exposures from the manufacturing and recycling of lead batteries is a major source of lead poisoning around the world and causing significant environmental contamination.  Occupational Knowledge International (OK International) has developed the Better Environmental Sustainability Targets (BEST) certification standard for lead battery manufacturers in India with the participation of the battery industry, major purchasers, NGOs, and government.  The University of Tennessee-Knoxville will now partner with OK International to investigate the feasibility of expanding the program in Vietnam.  The Vietnam Environmental Protection Agency has also encouraged us to consider expanding this eco-labeling program in that country and will partner with us in this endeavor",1004942,Funded,4942-07,0017000001LSVnyAAH,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
Implementing Sustainable Micro-Enterprise,49280,Implementing Sustainable Micro-Enterprise,Ithaca College, ,2007-10-04,2007-10-19, , ,"The proposed Ithaca College (IC) project will bring a multi-disciplinary graduate and undergraduate student program to Ecuador to consult on sustainable micro-enterprise development and management. The students in this program are divided into four project teams. Our primary partner is Fundación Maquipucuna (FM), an Ecuadorian NGO with 19 years of experience in cloud-forest preservation and sustainable community development. The four teams will engage in the following activities: further development of a business plan for eco-educational tourism services targeted at the eco-tourist market coming to Ecuador from North America and Europe; work on a business plan to the patented process, developed through last year s NCIIA grant, for making plastic thatch for low-cost housing; further develop bio-diesel production as another sustainable enterprise in the communities surrounding the FM ecological reserve; help bring products to market to sell to  eco-tourists  that visit this area. Some of these products have been designed and now need business planning to become viable. These village-based businesses, built upon local need and with appropriate technology, will achieve sustainable economic development in Ecuador and provide experience in sustainability thinking for our IC students as they serve the Ecuadorian community. Products will be branded as part of the eco-label  master-brand  being developed by FM. Revenues and other  capitals  generated through these enterprises will strengthen FM s infrastructure and support its work to reduce poverty in the surrounding villages and increase support for its conservation efforts.",1004944,Invited Resubmit,4944-07,0017000001LSW1FAAX,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
Developing Sustainable Off-Grid Energy Systems in Rural Mali,50000,Developing Sustainable Off-Grid Energy Systems in Rural Mali,Iowa State University,46778,2007-10-05,2007-10-19,2010-07-30,2008-02-01,"This project proposes to improve the lives of rural Malians by using an innovative modular electrical system to address the need for locally controlled, economically feasible, and sustainable energy and lighting systems in rural villages. Students from Iowa State University (ISU) will work with students from the University of Bamako (UB) to develop reproducible and sustainable products that provide lighting and other energy needs for off-grid rural households. Initially, these efforts will focus on developing a battery-based energy system in which lead acid batteries are charged with solar panels and then rented to village families to provide lighting. A key innovation of this program is that it takes advantage of an underutilized resource: excess power from solar-powered village water systems. As part of this program, local entrepreneurs will be trained to implement and continue these activities as a local business. In addition, students will work to develop appropriate household products including lighting, fan-driven biomass stoves, and water purification devices that take advantage of this power source. There are three primary goals for this project: 1) Establish a locally controlled and reproducible business that keeps money in a village that would otherwise have been spent outside the village and provides lighting, 2) Expose students to the challenges of solving humanitarian problems across cultural differences with limited resources, providing students with a broader view of the world and exposure to the techniques of innovation and entrepreneurship, and 3) expand the growing partnership between ISU, UB, and Medicine for Mali.",1004947,Funded,4947-07,0017000001LSVnDAAX,a2C39000002zYt3EAE,012390000009qIDAAY,The Lemelson Foundation
