NAME,RECORDTYPEID,ALIAS__C,Zenn ID
A Scalable and Sustainable Malawian Empowerment Entrepreneurship Village Model,012390000009qKOAAY,,1006871
Envirofit Cookstoves For Liberia,012390000009qKOAAY,,1006886
New Economy Venture Accelerator (NEVA) formerly Sustainable Venture Accelerator (SVA),012390000009qKOAAY,New Economy Venture Accelerator (NEVA) formerly Sustainable Venture Accelerator (SVA),1006878
SociaLite,012390000009qKOAAY,,1006834
Pico-hydro electric power for isolated villages,012390000009qKOAAY,,1006873
Flexible Ad hoc Networks for Scarce Environments (Lifenet then MeGo),012390000009qKOAAY,,1006916
The Human-Powered Nebulizer in Central America,012390000009qKOAAY,,1006843
Cycle Ventures: The Rickshaw Bank Partnership,012390000009qKOAAY,,1006880
Affordable Universal Socket for Amputees in the Third World Countries,012390000009qKOAAY,,1006917
Enabling Effective Management of Neonatal Jaundice in Rural India /Brilliance,012390000009qKOAAY,,1006885
Building on Tradition:  Indigenous Green Housing,012390000009qKOAAY,,1006931
"Improved Rural Health Care through Low-Cost Telecommunication in Waslala, Nicaragua",012390000009qKOAAY,"Improved Rural Health Care through Low-Cost Telecommunication in Waslala, Nicaragua",1006877
Small-scale windmill development in Lake Titicaca Region of Peru,012390000009qKOAAY,,1006889
Sustainable Housing Materials for New Rural Economies in China,012390000009qKOAAY,,1006898
"DEVELOPMENT OF A COCOA STUDY CENTER IN EBEKAWOPA, GHANA",012390000009qKOAAY,,1006926
Waste to Energy: Utilizing Anaerobic Digestion to Bring,012390000009qKOAAY,,1006894
Low Cost Adult Male Circumcision Device,012390000009qKOAAY,,1006856
"A model for business enablement and sustainability in poverty stricken, tech-deprived communities using passive/active solar energy and locally abundant recyclable materials",012390000009qKOAAY,"A model for business enablement and sustainability in poverty stricken, tech-deprived communities using passive/active solar energy and locally abundant recyclable materials",1006915
"Raising Incomes, Reducing Deforestation and Increasing Efficiency of Small Scale Panela Producers in Honduras",012390000009qKOAAY,"Raising Incomes, Reducing Deforestation and Increasing Efficiency of Small Scale Panela Producers in Honduras",1006927
Structuring Social Entrepreneurship Ventures in Developing Countries:,012390000009qKOAAY,,1006930
Village-sized Biogas Production Facility,012390000009qKOAAY,,1006862
Smart Grid to deliver power to people living in poverty,012390000009qKOAAY,,1006925
Running Water International - Clean Water. Healthy World,012390000009qKOAAY,,1006884
"Novel Natural Water Filters for Nagcarlan, Philippines",012390000009qKOAAY,,1006887
Design for Resource Limited Settings,012390000009qKOAAY,,1006895
Development of Affordable Farm Mechanization and Transportation Means for Smallholder Agriculture in the Developing World through Intercollegiate Competitions,012390000009qKOAAY,Development of Affordable Farm Mechanization and Transportation Means for Smallholder Agriculture in the Developing World through Intercollegiate Competitions,1006874
Powering the Dissemination of Micropower products in Sub-Saharan Africa,012390000009qKOAAY,,1006841
Low Cost Cement Replacement Using Corn Ash for Masonry Mortar in Sub-Saharan Africa,012390000009qKOAAY,Low Cost Cement Replacement Using Corn Ash for Masonry Mortar in Sub-Saharan Africa,1006861
Hydrokinetic Power Generation for Rural Ghana,012390000009qKOAAY,,1006902
Energy Nucleation Site Model for Ugandan Community Development,012390000009qKOAAY,,1006852
Using Green Chemistry for Removing Contaminants from Drinking Water,012390000009qKOAAY,,1006888
Proof of Concept-Developing a Solar Powered Electric Bike Sharing System,012390000009qKOAAY,,1006905
