NAME,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,APPLYING_INSTITUTION__C,PROGRAM_COHORT__C,RECORDTYPEID,PROPOSAL_FUNDER__C
A Scalable and Sustainable Malawian Empowerment Entrepreneurship Village Model,50000,A Scalable and Sustainable Malawian Empowerment Entrepreneurship Village Model,Arizona State University, ,2009-10-06,2009-10-21, , ,"An evolving sustainable humanitarian and entrepreneurial partnership, now entering its fourth year between Arizona State University and the people of Malawi, Africa, has been focused on empowering Malawians having physical disabilities. We now propose to include underserved able-bodied Malawian girls and women in this endeavor that, together, will be provided the opportunity to acquire technical and entrepreneurial skills to create new businesses that produce products and services that have high local and regional impact. In concert with Paul Polak s  Out of Poverty  paradigm shift to include the impoverished as part of the solution, the long term goal is to develop and maintain sustainable empowerment villages equipped with affordable technologies located strategically across Malawi to improve the quality of life for underserved Malawians and their full integration into society while having high impact on the general population in the local community. The Empowerment Centre facility will be initially constructed from local materials while evaluating the utility of the now popular  box  shipping containers for this purpose. The empowerment center will provide technical and entrepreneurial training to develop sustainable technologies using local materials to satisfy community needs in a profitable manner. Once refined, the proposed Empowerment Centre concept has the potential to be expanded throughout Malawi using supply chain principles and techniques leading to lasting socioeconomic stability.    Objectives     Create sustainable service-learning educational and community-based partnership to empower the underserved     Provide student-driven, sustainable rehabilitation and business technology opportunities      Evaluate prototypical Empowerment Centre for expansion across Malawi using supply chain principles.      ",1006871,Not Accepted,6871-09,0017000001LSVsUAAX,a2C39000002zYtDEAU,01239000000Ap02AAC,The Lemelson Foundation
Envirofit Cookstoves For Liberia,49950,Envirofit Cookstoves For Liberia,Arizona State University, ,2009-10-08,2009-10-19, , ,"ASU Sustainability Team SJedi is requesting a NCIIA Sustainable Visions Grant in order to introduce Envirofit Intl clean cookstoves into Liberia and sub-Saharan Africa. SJedi seeks to mimic the success of Envirofit s G3300 series cookstoves that were recently introduced in India and where  over the next five years these 60K cookstoves will keep over 400,000 tons of CO2 and over 85,000 kg of black carbon from entering the atmosphere, while garnering savings of over 900 million rupees ($18M USD) for some of India s lowest-income consumers."" SJedi shares Envirofit s vision to tackle the difficult challenges of  indoor air pollution, poverty, energy, health, climate change and gender issues that impact half the world's population Viable, sustainable, scalable solutions will have a positive impact on all of these areas.  Envirofit's new stove represents a significant step forward in this endeavor.  The grant will allow SJedi to introduce new technology into rural communities (1) decreasing indoor air quality dangers and improving health, (2) decreasing deforestation by requiring women to collect less wood for cooking and heating, (3) decreasing the invisible costs women and children face in cooking and preparation labor, and (4) creating revenue from Envirofit s carbon emission reduction revenue sharing scheme.  This proposal will help improve human and social capital by building community institutional capacity in education, health and wellness, as well as providing micro-loans to support community based businesses.  Finally, SJedi s project meets Liberia s PRS (Poverty Reduction Strategy) goals: Pillars III revitalizing the economy; Pillar IV Rehabilitating Infrastructure & Delivering Basic Services.",1006886,Not Accepted,6886-09,0017000001LSVsUAAX,a2C39000002zYtDEAU,01239000000Ap02AAC,The Lemelson Foundation
New Economy Venture Accelerator (NEVA) formerly Sustainable Venture Accelerator (SVA),48405,New Economy Venture Accelerator (NEVA) formerly Sustainable Venture Accelerator (SVA),Colorado State University,48825,2009-10-08,2009-10-19,2012-10-31,2010-02-01,"Colorado State University s Global Social and Sustainable Enterprise (GSSE) program seeks funding to launch a Sustainable Venture Accelerator (SVA). SVA will provide GSSE and other student ventures with workspace, mentoring, technical assistance, professional network, and modest financial support to help entrepreneurs advance their technology innovations from product development through to commercialization.       Since launching in 2007, GSSE has seen several of its student ventures cease to exist due to financial and developmental pressures faced by the founders.  The mission of SVA is to provide the resources needed to help admitted student ventures become successful businesses and non-profit organizations.  SVA will be sustained long term by revenues generated from our Center for the Advancement of Sustainable Enterprise (CASE) and, longer term, by taking small equity interests in the student start-ups it supports.      SVA s three main objectives are to:   1. Engage experienced NCS and outside specialists as Entrepreneurs in Residence (ER) to provide onsite mentoring to SVA entrepreneurs   2. Develop and manage a core network of organizations and professionals that can be leveraged to help advance incubate ventures     3. Provide dedicated space and resources needed for SVA entrepreneurs to effectively advance their ventures      With the NCIIA funding, SVA will provide valuable resources to viable student ventures to help them reach the next level of operations for their innovations and their enterprises.    ",1006878,Funded,6878-09,0017000001LSVvwAAH,a2C39000002zYtDEAU,01239000000Ap02AAC,The Lemelson Foundation
SociaLite,50000,SociaLite,Cooper Union for the Advancement of Science and Art,43200,2009-09-13,2009-10-20,2011-08-31,2010-02-01,"There is a desperate need for an affordable lighting system that can be assembled, installed and maintained by the 800 million-plus rural poor who live in off-grid areas of the developing world and who constitute an almost boundless global market.        SociaLite is a solar-powered lighting project designed to meet the specific needs of the extreme poor. Working with rural communities in East and West Africa, student-led teams from the United States, Ghana and Rwanda have developed a lighting system available as a stand-alone kit designed for self-assembly. The project has already attracted interest from 26 countries. Five SociaLite systems, fabricated from local materials and a minimum quantity of imported components, have been installed to date. Two are engineering prototypes; the remaining three have been sold to foster and develop local entrepreneurship opportunities. Working with advisors, entrepreneurs and community groups, the overall approach, in which the end-user assumes significant responsibility for system implementation, is radically different from alternative approaches and comes with the promise of self-sustainability.        We seek funding to streamline SociaLite systems engineering from the assembly stage through to long-term maintenance; to continue development of our self-sustaining business model for the rural poor; and to establish satellite engineering and distribution centers in East and West Africa from which we will develop and test models for the worldwide commercialization of SociaLite.      * Engineering and business principles of self-assembled solar lighting systems demonstrated   * Infrastructure in place in East and West Africa   * Strong interest from potential customers around the world",1006834,Funded,6834-09,0017000001LSVtiAAH,a2C39000002zYtDEAU,01239000000Ap02AAC,The Lemelson Foundation
Pico-hydro electric power for isolated villages,49600,Pico-hydro electric power for isolated villages,Dartmouth College,36900,2009-10-06,2009-10-16,2013-12-31,2010-02-01,"The goal is reliable electricity for isolated villages in Africa, based on locally built and managed individual ""pico"" hydroelectric systems. Using student-designed turbines and simple auto alternators, these units charge batteries that power compact fluorescent lights and can charge cell phones.  Working jointly with a local NGO, a team of Dartmouth engineering students designed two successful prototypes, locally built and installed in a village in Rwanda.  A profitable local business has been set up, charging customers  batteries.  NCIIA funding will be used to prove that this prototype is extendable to other locations and other NGO s.  The team will develop an entrepreneurial model for franchising or licensing this rural electrification approach.  The team will also develop relationships with a local technical university, for continued local technical involvement.        NCIIA funding will provide travel and technical support for all aspects of this project:   assessing new locations, building relationships with local NGO s and technical universities, installing the next pico hydroelectric system, initiating the next local business, and developing a business plan for expansion, through market studies and technical assessment.      Objectives are:        Find a new site for a second installation and develop contacts to involve students at a local technical university.     Install an improved unit in a new location with help from a local NGO in working through local issues.     Carry out a marketing study and develop a business model for franchising local ownership and operation.  This model will include analyzing improved environmental conditions compared to the presently used kerosene lanterns.      ",1006873,Funded,6873-09,0017000001LSVvyAAH,a2C39000002zYtDEAU,01239000000Ap02AAC,The Lemelson Foundation
Flexible Ad hoc Networks for Scarce Environments (Lifenet then MeGo),50000,Flexible Ad hoc Networks for Scarce Environments (Lifenet then MeGo),Georgia Institute of Technology-Main Campus,44053,2009-10-15,2009-10-19,2013-06-30,2010-02-01,"This project will enable reliable, self-configuring, infrastructure-free wireless networks for developing regions and disaster-affected areas. The core new technology is an open-source software solution for reliable multi-hop wireless routing on commodity devices.",1006916,Funded,6916-09,0017000001LSW2vAAH,a2C39000002zYtDEAU,01239000000Ap02AAC,The Lemelson Foundation
The Human-Powered Nebulizer in Central America,49866,The Human-Powered Nebulizer in Central America,Marquette University,41974,2009-09-29,2009-10-16,2011-12-31,2010-03-01,"A nebulizer is a device that delivers aerosolized liquid medicine deep into the lungs.  Nebulizers allow for the highest impact on respiratory problems while minimizing systemic effects of particular drugs.  Compressor-style nebulizers force air at a constant rate through a submersed orifice contained in the mouthpiece.  The mouthpiece is inexpensive, but the compressor is costly and uses electricity.  The human-powered nebulizer (HPN) replaces the electric compressor with a leg-powered source of air flow.  This way, the HPN can be used in places in the developing world where electricity is unavailable.  The HPN has been shown to be equivalent to a commercial nebulizer.  The HPN can be used in treatment of asthma and COPD.  It can be used to improve TB diagnosis and vaccination delivery. In the long-term, the HPN can be studied for its effectiveness in treatment of lower respiratory infections, the number three killer in the world.  Integral to this new technology is deployment to remote areas and training of community members to deliver treatment using the HPN (for treatment of acute asthma attacks, for example). Therefore the three main objectives of this proposed work are:   1)Develop and test sustainable HPN designs that can be manufactured in countries where they will be deployed.   2)Recruit and train community healthcare workers in developing countries on how to use the HPN in the treatment of asthma.  Evaluate training plans and organizational structure for world-wide distribution.   3)Incorporate objectives 1 and 2 into educational service-learning programs at Marquette University.",1006843,Funded,6843-09,0017000001LSW8eAAH,a2C39000002zYtDEAU,01239000000Ap02AAC,The Lemelson Foundation
Cycle Ventures: The Rickshaw Bank Partnership,49875,Cycle Ventures: The Rickshaw Bank Partnership,Massachusetts Institute of Technology,46200,2009-10-08,2009-10-23,2013-01-31,2010-02-01,"Around the world people use bicycle technology and human power to meet a range of needs in addition to individual personal transport.  Examples include rickshaws, cargo transport, grain milling, water pumping, and washing clothes.  These solutions are environmentally sustainable, inexpensive and use locally available resources so they can be repaired and modified in the communities where they are used.   Wider use and development of these solutions is limited by technical problems and lack of workable economic models.  This is a proposal to fund a partnership between a project-based course in the D-Lab Program at MIT (D-Lab Cycle Ventures) and The Rickshaw Bank, a micro-credit enterprise in India that seeks to empower rickshaw drivers and give provide them with the economic independence that comes with owning their own rickshaws.",1006880,Funded,6880-09,0017000001LSVuHAAX,a2C39000002zYtDEAU,01239000000Ap02AAC,The Lemelson Foundation
Affordable Universal Socket for Amputees in the Third World Countries,50000,Affordable Universal Socket for Amputees in the Third World Countries,Mercer University,37275,2009-10-15,2009-10-16,2011-08-31,2010-02-01,"The objective of this project is to continue with the development of the Mercer Universal Socket (MUS) via Mercer on Mission (MOM) to Vietnam Program. The MUS has been physically fitted to 35 MUS for needy amputees in Vietnam in summer 2009. The design was proved clinically and it has shown excellent results. The sockets cost about $35/unit including the labor and it must cost less if they were made in Vietnam. The MUS-MOM Vietnam program has been awarded and committed with a financial support of $250,000 from Clinton global Initiative University in February 2009 for the next three years. In addition, this program has received $25,000 from Mercer University for the development of prosthetic lab in the School of Engineering. Also this program has support from Mercer Entrepreneurship Engineering Education Program (MEEEP) started in 2007 with the initial funding from Kern Family Foundation and recently received $150,000 from Kern Family Foundation and Mercer University for its expansion.   The funds requested in this proposal will be used to:    1.Develop a prosthetic manufacturing cell in Vietnam jointly with Can Tho General Hospital, Chau Doc General Hospital and the participating members from Vietnam;    2.Fabricate and transport at least 250 MUS to rural areas in Vietnam where there are amputees who lost their limbs from landmines;    3.Support Mercer team to travel to Vietnam to physically fit MUS to the needy amputees in the rural areas in Vietnam, monitor the amputees during rehab, collect data, and present/publish the results in conference(s)/journal(s).   ",1006917,Funded,6917-09,0017000001LSVzxAAH,a2C39000002zYtDEAU,01239000000Ap02AAC,The Lemelson Foundation
Enabling Effective Management of Neonatal Jaundice in Rural India /Brilliance,50000,Enabling Effective Management of Neonatal Jaundice in Rural India /Brilliance,Stanford University,46500,2009-10-08,2009-10-14,2011-03-31,2010-02-01,"A cross-disciplinary team of Stanford University students and faculty will collaborate with medical professionals in India and the American non-profit, D-Rev to develop low-cost highly-effective interventions for diagnosing and treating neonatal jaundice. Neonatal jaundice can cause kernicterus (permanent brain damage), with manifestations including deafness, cerebral palsy, and death. In the United States the advent of phototherapy treatment, which involves shining light on the baby, has played a key role in the virtual elimination of kernicterus.  In India however, only a small sub-set of the population (typically wealthier urbanites) has access to effective devices for diagnosis and treatment; consequently, neonatal jaundice is still a major threat to health of newborn babies.   In August 2009, our team interviewed doctors and nurses at 24 hospitals and clinics in Uttar Pradesh, Rajasthan, and Karnataka. Our findings matched published medical literature on phototherapy devices in India; the majority of phototherapy devices were inefficacious, delivering substandard treatment.  The objectives of the project are:   o Improve patient access to neonatal jaundice treatment in rural clinics.  We will develop low-cost, low-maintenance, highly-effective devices for the treatment of neonatal jaundice in a rural clinic setting.   o Build a viable distribution channel.  This includes working with Indian manufacturing to strengthen their capacity of to produce optomedical devices that meet international standards, and engage the manufacturers and related distributors to ensure a financially lucrative business model.   o Provide an engaging multidisciplinary educational experience for two teams of 2-4 Stanford graduate students, particularly related to need-finding, product testing and international regulatory requirements.   ",1006885,Funded,6885-09,0017000001LSVwpAAH,a2C39000002zYtDEAU,01239000000Ap02AAC,The Lemelson Foundation
