NAME,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,APPLYING_INSTITUTION__C,PROGRAM_COHORT__C,RECORDTYPEID,PROPOSAL_FUNDER__C
Sustainable Vision Care Services for the Developing World,50000,Sustainable Vision Care Services for the Developing World,Bucknell University, ,2011-09-21,2011-10-18, , ,"Close to one billion people in the world need corrective lenses and yet can t afford them. Most of these people have limited access to optometrists and ophthalmologists, and those eye care professionals who are available locally have few resources. NGOs and other organizations have attempted to address this problem, but their methods have not been sustainable. We are proposing a potentially global solution to the problem using a new, simplified eyewear design and a business model that will enable local people to provide services to their community members. Project Objectives:   Develop a new frame design and set of lenses that can be manufactured inexpensively. This new design will cost $2 or less, enabling a price point affordable by nearly everyone.   Develop a business model focusing on the local community, comprising manufacturing, marketing, distribution, and service after the sale (including repair). The project team will involve local people significantly in every phase of the project to assure its appropriateness for local conditions.   Implement the eyewear design and business model at one location in the developing world. The project team will educate and train local people to take over the process in its entirety, and locally available materials will be used whenever possible, thereby having positive social, economic, and environmental impacts.   Pursue similar projects in other developing areas.   ",1008933,Not Accepted,8933-11,0017000001LSVrxAAH,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Stanford-India Biodesign Phase II,50000,Stanford-India Biodesign Phase II,Stanford University,40200,2011-09-23,2011-10-14,2013-08-31,2012-02-01,"The Stanford-India Biodesign (SIB) Program is starting its fifth year, and has been internationally recognized for its approach to training innovators in the process of creating novel medical technologies for those living in poverty in India. By this December, 17 Indian engineers and physicians will have been trained in the fellowship, 18 engineers and physicians will have participated in the internship program, and 10 Stanford students and fellows will have been hosted in India by the SIB program. During this time, several novel medical devices have been developed, three of which have entered clinical testing and one new company has been formed.    Phase I of the SIB program was created as a 5-year pilot with the aim of developing one center (in New Delhi) as a  prototype  SIB center. The Government of India is enthusiastic to commence Phase II in which additional SIB centers will be developed. Further, we are very interested in providing our Stanford students opportunities to spend time in and develop products for India as part of Phase II.        In this proposal, we request funding from NCIIA to help launch the Stanford contribution to Phase II of the program, which includes:             Helping enable Stanford medical, engineering and business students to pursue clinical immersion within India and supporting development of novel medical technologies for India while at Stanford              Creating the  India Biodesign Sourcebook  as an open source resource for medtech innovators             Advising in the creation of ~5 new India Biodesign centers within India   ",1008937,Funded,8937-11,0017000001LSVwpAAH,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Clear Ear: A Total Ear Care Technology Platform for Underserved Global Populations,50000,Clear Ear: A Total Ear Care Technology Platform for Underserved Global Populations,Stanford University, ,2011-09-23,2011-10-14, , ,"The majority of the world s population is denied adequate, safe and reliable access to appropriate low cost medical devices within their health systems. We are dedicated to developing innovative, cost-effective products for unmet clinical needs that will empower healthcare professionals in lower skilled jobs to provide specialized care. Our project is a cost-effective  Total Ear Care System,  exceeding the efficacy of the current methods of earwax removal such as cerumenolytic agents, ear picks and irrigation, which are relatively ineffective, time-consuming, and unsafe as well as expensive and often.      With the grant proceeds, we aim to fully develop and test the efficacy and safety of the system we will deploy: the  Total Ear Care System  which will allow lower skilled health care professionals to perform external ear related procedures such as hearing aid management and foreign body and earwax removal. The main objective is to provide ENT standard of care to the audiology and primary care physicians.  We will do this by 1) allowing more procedures such as myringotomy, intra-tympanic injections etc to be performed in out- patient clinic in ENT set-ups; 2) bundling this system into starter kits provided by hearing aid companies; and 3) developing a system for milder cerumen cases that can be used for home treatment.      Specific aims for this grant:     complete design studies on product with our engineers     complete product development by engaging with a design firm to ensure ergonomic and manufacturability of the prototypes     complete bench top studies in India   ",1008938,Invited Resubmit,8938-11,0017000001LSVwpAAH,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
WITHDRAWN: Low-Cost Prosthetic Solutions For Above-The-Elbow Amputees Living in Poverty,31500,WITHDRAWN: Low-Cost Prosthetic Solutions For Above-The-Elbow Amputees Living in Poverty,University of Illinois at Urbana-Champaign,32700,2011-10-01,2011-10-13,2014-01-31,2012-02-01,"We present a proposal to design and manufacture low-cost prosthetic arms for above-the-elbow amputees living in subsistence contexts in India.  This represents a partnership between three like-minded programs or organizations affiliated with the University of Illinois. These are, 1) Product and Market Development for Subsistence Marketplaces, a year-long interdisciplinary, project-based course including international immersion with an interdisciplinary team devoted to this topic, offered through the Subsistence Marketplaces Initiative, College of Business, University of Illinois,  2) Illini Prosthetic Technologies (IPT), NFP, which is a nonprofit organization founded by University of Illinois engineering students,  and 3) Marketplace Literacy Communities, which is a non-profit organization on the ground in South India affiliated with the Marketplace Literacy Project, a non-profit organization in Illinois.",1008941,Funded,8941-11,0017000001LSW31AAH,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Designing and Constructing a Low-Cost Incubator/Warmer/Cooler/Transporter for Neonates,50000,Designing and Constructing a Low-Cost Incubator/Warmer/Cooler/Transporter for Neonates,University of Maryland-Baltimore County,49100,2011-10-02,2011-10-17,2013-08-31,2012-02-15,"Low-resource environments present many challenges for maternal and neonatal healthcare delivery. Among these, is a lack of basic equipment to preserve and protect newborns, particularly at-risk neonates. For example, a simple incubator/warmer is lacking in most primary health care facilities. Furthermore, available solutions pioneered by developed countries do not fare well in a resource limited area- for example, reliable electricity supply is not readily available. Cultural factors also inhibit care giving, as there is social pressure on mothers to get back to work as soon as possible and leaving the infant in a hospital is generally not done, thereby further decreasing chances of survival.    Considering all these complex technical and social factors, our team from the UMBC in partnership with General Electric s Maternal Infant Care division propose to pilot simple, rugged technology solutions that can be readily implemented in a low resource setting. Our one year goal is to design and test a low-cost incubator-warmer-cooler-transporter. We have teamed with a charitable hospital in Southern India (Chandrakala Hospital, Mysore) as a potential initial deployment site from where we will develop a more detailed understanding of the local environment and social and cultural practices to enable successful adoption of our technical solution. Once the incubator prototypes are field tested and appropriately refined for the target market, GE will take over marketing and manufacturing.  5 American students will be exposed to a global product development paradigm for an emerging market.      ",1008943,Funded,8943-11,0017000001LSVu0AAH,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
JolaVenture,50000,JolaVenture,Northeastern University,51100,2011-10-03,2011-10-19,2014-03-31,2012-02-01,"JolaVenture, a for-profit entity with an exclusive license of a patented Solar Food Dryer (Solar- POD) technology (Provisional IP Rights-61/420,474; filed 12/7/2010), is an effective, low-cost provider of a solution to food spoilage that is common among most developing nations. Using solar energy to dehydrate fruits, vegetables, carbohydrates and meats, the Solar-POD extends the shelf lives of perishable food items, giving users a simple and cost effective means of food preservation. A unique technical feature of the design is the creation of a natural flow of air over the food items to be dried. Substitute processes bring perishable food items to cooking temperatures. Traditional methods employ harmful smoke and require at least 3 weeks compared to 4 hours under normal temperatures to dry items.    The State of the World 2011 report states that more than 40 percent of food losses occur at post harvest and processing levels.  JolaVenture aims to:      provide a platform for creating and distributing micro financed agricultural technologies through farmer s cooperatives;      create a centre for food processing, packaging and sale to local and regional markets      Create a  translational research process centre for appropriate technologies as a platform for students to learn and share ideas for innovation and productivity       A pioneering program among universities, Northeastern University in collaboration with Cameroonian counterparts, seeks to lift impoverished communities by increasing their access to innovation, capacity building training and markets to create a model for academic-based poverty alleviation on a global basis.   ",1008944,Funded,8944-11,0017000001LSVtXAAX,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Awaaz.De: Empowering Communities with Voice-based Mobile Information Services,50000,Awaaz.De: Empowering Communities with Voice-based Mobile Information Services,University of California-Berkeley, ,2011-10-04,2011-10-17, , ,"Awaaz.De is an interactive software platform for all people, especially those in poor, remote, and marginal communities, to share their knowledge using basic phones and voice communications. Awaaz.De allows rural enterprises, NGOs, educational institutions, government and community groups to set up customized voice message boards accessible through a regular or toll-free phone number. People call the number and record and browse voice messages. Through an interactive, voice-based interface, they ask questions, share experiences, listen to and respond to others  messages. The service has been used since 2009, serving over 100,000 calls. The value of the service has been shown through a growing number of callers, the formation of a core group of repeat users, and numerous individual testimonials received from users. Our eventual goal is to develop a ready out-of-the-box service for organizations across India working in diverse domains such as health, civic engagement, and governance. Our business model is to provide hosted Value-Added-Services (VAS) and audio content management for organizations and enterprises serving rural populations; including banks, MFIs, agricultural cooperatives, grower groups, input providers, traders, processors, and organizations providing health and educational services. We intend to pursue both advertising and fee-based revenue streams. Future strategic partnerships include with the government, and with mobile operators.",1008945,Not Accepted,8945-11,0017000001LSVsvAAH,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Using Technology to Enhance Career and Job Skills Competency,50000,Using Technology to Enhance Career and Job Skills Competency,Indiana University-Northwest, ,2011-10-04,2011-10-17, , ,"In today's economy, many people are struggling to find new jobs and/or keep their current jobs. One possible solution to this complex problem of surviving in a difficult economy would be to enhance one's technological skills and competency to become more marketable in the job market. SAP, a hi-tech leader and global company, offers its specialized SAP enterprise software program to universities toward enhancing students' skills and competencies. We plan to use the SAP program to help our Indiana University Northwest students learn these specialized SAP skills that would better prepare them for the job market.  Also, we would offer customized training seminars and workshops integrating SAP to the Gary, Indiana community residents to improve their skills and competencies, which would help them find suitable new jobs/careers or enhance their present job skills. Research studies have shown that acquiring SAP skills would help trained and skilled job seekers gain a clear competitive edge in the job market over those who do not possess these skills. This would be a valuable service to our students and community citizens in Gary and surrounding areas. Specifically, these three objectives would be addressed:     To include in selective business courses SAP training that would enhance our students  skills and competencies.     To offer custom training seminars and workshops using SAP to Gary, Indiana community residents.     To help prepare both groups, students and community residents, to acquire SAP related job skills and competencies which would give them a competitive edge in the job market.      ",1008946,Not Accepted,8946-11,0017000001LSW0wAAH,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Promoting Entrepreneurial Development and Sustainable Agribusinesses in Rural Western Kenya,49994,Promoting Entrepreneurial Development and Sustainable Agribusinesses in Rural Western Kenya,University of Hartford,37061,2011-10-04,2011-10-14,2014-12-31,2012-02-01,"The initiative builds on a partnership between US universities and Kenyan institutions to develop market-driven affordable technology innovations that take advantage of the recent increase in production of amaranth grain as a cash crop in rural Western Kenya. Amaranth is drought and disease resistant, and has high nutrient and immunity properties. The Poverty Eradication Commission of Kenya introduced amaranth grain to the Western Provinces of Kenya in 2005, and in 2007, farmers in Gem District were introduced to amaranth production through an ecosystem management project implemented by the Kenya Agriculture and Research Institute (KARI).  Our strong partnership with KARI provides the critical link to farming enterprises.   During fieldwork (2009- 2011), interdisciplinary student-faculty teams worked with farming cooperatives. We co-developed 1) business and marketing practices to facilitate adoption of amaranth for production/supply and consumption/demand, and 2) the design and piloting of a mechanical seed planter and a human-powered thresher for improving production of amaranth. Our goals are to promote sustainable agribusinesses and technology entrepreneurship, and to create a new market economy. Our collaborative work with farming groups includes three objectives:        Assist small to medium farming enterprises with increasing quantity and quality of amaranth production and developing business skills for sale to regional, national and international markets.        Develop the infrastructure and capacity (locally) for large-scale manufacturing of the mechanical seed planter and the human-powered thresher.         Implement the business enterprise with farming cooperatives through interdisciplinary faculty-student project-based learning that includes both an academic component and fieldwork.     ",1008947,Funded,8947-11,0017000001LSVv2AAH,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Developing New Orthopedic Technology for India through Co-creation,49350,Developing New Orthopedic Technology for India through Co-creation,Massachusetts Institute of Technology, ,2011-10-06,2011-10-14, , ,"To improve the quality of life for individuals affected by limb-loss in the developing world, we have proposed a plan for classroom-based learning and on-site co-creation of technology to improve the standard of care across the developing world. Our plan is to set up a research lab here in MIT in collaboration with a collection of leaders in the field of prosthetic technology, developing world technology, and medicine. In India we will create a teaching laboratory that will foster shared learned across boundaries between American and International students and allow the spread of this knowledge throughout local communities in the developing world.    Our innovative laboratory experiment will take place here at the MIT D-Lab and at the Jaipur Clinic in India. Through this collaboration, researchers and students here in the US will exchange prototypes, ideas, and designs with our India collaborators to participate in co-creation. This in turn will improve the capabilities available for the Jaipurfoot organization to maintain and improve on their designs.    The evaluation of our project will happen through looking closely at the quality of interactions between students, researchers, and collaborators and the outcomes of those interactions in terms of new designs and ideas. Ultimately, our impact will be measured through the increased quality of life and participation in jobs that benefit lives by giving amputees the means to live long independent lives.   ",1008950,Invited Resubmit,8950-11,0017000001LSVuHAAX,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
