NAME,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,APPLYING_INSTITUTION__C,PROGRAM_COHORT__C,RECORDTYPEID,PROPOSAL_FUNDER__C
"Creating a Development Plan for Kasongan Pottery Village, Java, Indonesia",49500,"Creating a Development Plan for Kasongan Pottery Village, Java, Indonesia",Indiana University-Purdue University-Indianapolis, ,2006-07-31,2006-10-27, , ,"Abstract:   The intent of this project is to address the post disaster reconstruction and design of the Kasongan Pottery Village near Bantul, Java Indonesia. Its prime objective is to improve the sustainability of the community and its main livelihood by developing a concise, yet thorough, Development Plan to ensure the ongoing quality, financing, development and management of this small, ceramic based village. We intend to accomplish this by designing and planning a new prototype for this village that will encourage the development of increased tourist activities, increased craft quality, improved community capacity and management systems, innovative production facilities as well as a concerted effort to improve the international profile of this village and its craftspeople. In this manner this village will serve as a blueprint of success and longevity for other endeavors of this scale and will provide the ongoing labor, livelihood and expertise needed to lift these people from the poverty and desperation they currently face.   ",1003572,Not Accepted,3572-06,0017000001MBM8sAAH,a2C39000002zYsyEAE,01239000000Ap02AAC,The Lemelson Foundation
Solar Lighting for Remote Rural Communities,49875,Solar Lighting for Remote Rural Communities,Cooper Union for the Advancement of Science and Art, ,2006-08-25,2006-10-27, , ,"We are developing a rechargeable lantern to be used for general lighting, for reading and writing, and as a flashlight. The lantern must be extremely robust, easily repairable, inexpensive, use available indigenous materials, and be supplied in kit form for local assembly or manufacture. Together with the Kwame Nkrumah University of Science and Technology, at which the PI is a visiting professor, and the University of Developmental Studies, we are working with communities in Northern Ghana for whom the lantern is intended. Direct consultation with these groups, with whom the PI has a strong relationship through annual working trips with Cooper Union students, is an integral part of our design process. The solution must make available the ownership, installation and maintenance of the complete system to these communities. To facilitate this we plan investigations into and consultations with: local Agricultural banks for micro financing; local workshop facilities for fabrication/assembly; local district councils and NGOs for guidelines on installation and maintenance.        Development of the prototype lanterns is currently in the hands 24 freshmen and will continue next semester as an independent study. In Phase I, the PI and two students will install two prototype systems in Ghana in early summer 2007. These will be used to gather extensive data for both the technological and sociological operation of the system to provide input for more extensive trials in Phase II in 2008. Once designed, the lantern could be fabricated and used, with minimal environmental impact, in remote communities worldwide.",1003602,Not Accepted,3602-06,0017000001LSVtiAAH,a2C39000002zYsyEAE,01239000000Ap02AAC,The Lemelson Foundation
ecoMOD:  Home Health and Energy Monitoring,50000,ecoMOD:  Home Health and Energy Monitoring,University of Virginia-Main Campus, ,2006-09-05,2006-10-26, , ,"The University of Virginia s ecoMOD project is a multi-year research and design / build / evaluate collaboration between many disciplines.  The project is intended to create well designed and well-built homes that cost less to live in, minimize damage to the environment, and appreciate in value. To evaluate the ecoMOD homes, the team plans to develop a marketable wireless home energy monitoring system to give occupants immediate feedback on their energy consumption. The ecoMOD system will be the first of its kind to additionally integrate medical monitoring for older residents. The goal of this technology is to help home occupants make significant reductions in their total energy consumption, and also to enable aging residents to live independently without the need for live-in care or relocation. This monitoring system has great market potential for the homeowner, as well as property management agencies or companies hoping to minimize multiunit resource costs.",1003617,Not Accepted,3617-06,0017000001LSW8FAAX,a2C39000002zYsyEAE,01239000000Ap02AAC,The Lemelson Foundation
EPROM: Entrepreneurial Programming and Research on Mobiles,50000,EPROM: Entrepreneurial Programming and Research on Mobiles,Massachusetts Institute of Technology, ,2006-09-20,2006-11-06, , ,"EPROM makes the case for a mobile phone programming curriculum that will equip computer science students with the skills to design mobile phone applications specifically for the needs of people in the developing world. While mobile phones are becoming the continentâ  s dominant computing platform, most computer science courses in Africa currently focus exclusively on programming traditional desktop computers. However, our over-subscribed pilot courses at the University of Nairobi confirmed the overwhelming demand from both students and faculty for the addition of a mobile phone programming curriculum. We are also introducing mobile phone programming courses in other universities across Africa, most recently at the GSTIT in Addis Abeba, Ethiopia. It is our belief that the creation of localized mobile services will continue to improve the economic welfare of the 1.4 billion mobile phone subscribers living in the developing world.",1003675,Not Accepted,3675-06,0017000001LSVuHAAX,a2C39000002zYsyEAE,01239000000Ap02AAC,The Lemelson Foundation
"Development and Pilot Implementation of an Entrepreneurial Opportunity based on Low Cost, Point of Use Ultraviolet Water Sterilization Systems for South American Countries",40268,"Development and Pilot Implementation of an Entrepreneurial Opportunity based on Low Cost, Point of Use Ultraviolet Water Sterilization Systems for South American Countries",Rochester Institute of Technology, ,2006-09-29,2006-10-27, , ,"Worldwide, one person in six does not have access to improved drinking water. Illnesses associated with unsafe drinking water and poor sanitation represent a major cause of death in the developing world. Each of the eight United Nations Millennium Development Goals can be addressed by improving the quality of water available in developing areas. This work will build upon an existing relationship between a university in Caracas, Venezuela and one in Rochester, NY to (1) further develop a series of point of use Ultraviolet (UV) water disinfection devices suitable for use in developing nations where other water treatment methods cannot be applied, and (2) pilot test a local microenterprise that will manufacture, demonstrate, distribute, and service the devices as well as educate users on their operation. Development and dissemination of effective and affordable sterilization systems will be of immense benefit in developing areas.",1003724,Not Accepted,3724-06,0017000001LSVoRAAX,a2C39000002zYsyEAE,01239000000Ap02AAC,The Lemelson Foundation
"Design and Implementation of  Robust Rainwater Catchment Systems, Appropriate Water Treatment Technology, and High-Efficiency Stoves at the Lesperance Children's Aid Orphanage, Rwanda",49985,"Design and Implementation of  Robust Rainwater Catchment Systems, Appropriate Water Treatment Technology, and High-Efficiency Stoves at the Lesperance Children's Aid Orphanage, Rwanda",University of Colorado at Boulder, ,2006-09-30,2006-10-27, , ,"The L Esperance Children s Aid Orphanage, in Mugonero Rwanda, was founded in 1995 for genocide orphans and now houses younger AIDS orphans as well as adults who grew up there and have nowhere else to go. The 110 youth live in small communal homes and farm the acreage owned by the orphanage.       The orphanage director, Victor Monroy is tasked with making the orphanage self-sustaining within five years. The Engineers Without Borders-USA Chapters at the University of Colorado at Boulder and the Johnson Space Center are committed to working with the Orphanage to meet this goal.       This team is working to address the basic water and energy needs of this Orphanage in partnership with the community. Through the design and implementation of rainwater catchments, appropriate water treatment technologies and efficient cookstoves, the project will significantly impact the health and welfare of the Orphanage youth.    ",1003728,Final Review,3728-06,0017000001LSW2dAAH,a2C39000002zYsyEAE,01239000000Ap02AAC,The Lemelson Foundation
Diabetic Foot Assessment Tool for the Developing World,50000,Diabetic Foot Assessment Tool for the Developing World,Milwaukee School of Engineering, ,2006-10-02,2006-10-27, , ,"Leveraging the long-standing relationship between Milwaukee School of Engineering, Wisconsin, USA and Manipal Academy of Higher Education, Manipal, India we propose to investigate and prototype an effective affordable diabetic foot assessment instrument for the developing world. Diabetes is a worldwide epidemic; loss of sensation in the feet of diabetics has serious consequences up to and including amputation. The key to reduction of these outcomes is to examine the feet of each patient at consultation.      This project will review all current medical and product literature to identify the state-of-the-art of sensory testing of the diabetic foot. The optimal combination of modalities will be configured into a prototype instrument, then clinical validated in India. The system will then be redesigned to simplify, optimize and reduce costs to be affordably producible overseas. This will be accomplished by an international team with backgrounds in medicine, biomedical and mechanical engineering, and international business.",1003731,Final Review,3731-06,0017000001LSVxhAAH,a2C39000002zYsyEAE,01239000000Ap02AAC,The Lemelson Foundation
"Market Access, Resource Management, and Product Design for Participatory Sustainable Development",50000,"Market Access, Resource Management, and Product Design for Participatory Sustainable Development",Kansas State University, ,2006-10-04,2006-10-26, , ,"Our proposed project will test a novel combination of technologies and assistance with  rural indigenous communities in Mexico, to help them achieve more sustainable livelihoods. These communities currently harvest local trees to fabricate simple furniture for sale. They are harvesting beyond sustainable levels. Project personnel in Mexico and the US have worked with these communities for 3 years, via a network providing micro-grants for community environmental/social development. The project will empower the communities to do three things:    1) Learn basic principles and methods of sustainable forestry, via experts at Yale University's Global Institute of Sustainable Forestry and Mexico's University of Hidalgo;   2) Learn ways to produce furniture which is higher value-added, selling for higher prices, via faculty at KSU's Interior Architecture and Product Design Department;   3) Use an emerging web-based e-commerce system to access markets in the US and Europe, and to achieve and report sustainable forestry certification   ",1003743,Not Accepted,3743-06,0017000001LSWACAA5,a2C39000002zYsyEAE,01239000000Ap02AAC,The Lemelson Foundation
"Anaerobic Biogas Digester Technology for the State of Assam, India",49996,"Anaerobic Biogas Digester Technology for the State of Assam, India",Marquette University, ,2006-10-06,2006-10-26, , ,"The anaerobic digestion process is well known for its role as a sustainable source of energy as well as for and its role in maintaining proper sanitation and hygiene.  This project will evaluate the efficacy of implementation of anaerobic biogas digesters for the village of Gunjung, in the state of Assam, in India.  A team of academics at Marquette University and Jesuits in the Assam region will conduct this project.  Energy and residuals data will be collected through research in the US as well as site visits in-country.  This data will reveal (1) how much energy could be generated in Assam with a biogas digester, (2) how the generated energy could be utilized, and (3) how the biogas digester initiative could be implemented.  The final product will be an analysis of anaerobic biogas digester implementation for the Gunjung village in Assam in the form of a master s thesis.      This initial study will set the stage for a larger demonstration project to benefit the inhabitants of the Assam region.  The larger project will lead to the diffusion of the technology to other villages in Assam and to other similar regions, bringing affordable, reliable, and efficient energy sources to impoverished areas of the country India.  The larger project deliverables will include: (1) an operable demonstration anaerobic digester that will produce methane usable for local needs and (2) a manual for on-site assessment, construction, and locally sustainable operation of an anaerobic digester.",1003753,Final Review,3753-06,0017000001LSW8eAAH,a2C39000002zYsyEAE,01239000000Ap02AAC,The Lemelson Foundation
Market Research Lab,19977,Market Research Lab,Missouri University of Science and Technology, ,2006-10-06,2006-10-27, , ,"The purpose of this grant is to establish a market research lab at the University of Missouri-Rolla to assist in conducting cutting edge research that is desperately needed by the university community. The University of Missouri-Rolla campus is ranked one of the top 20 entrepreneurship campuses in the United States. This research lab will provide service to the center for entrepreneurship by conducting research that leads to the benefit of the community.       This research lab will contain cutting edge research equipments such as an eye tracking machine, sweat measuring devices, heart rate measuring devices and other. This program will aid in combing technology with entrepreneurship efforts at the University of Missouri-Rolla to produce an innovative educational programs that move ideas to commercialization for the benefit of the environment and people in need. This research lab will help us work closely with the technology transfer director in charge of commercializing innovations on campus. This research lab will also provide a unique training program for UMR students by being involved in cutting edge research techniques. Finally, this research lab will provide services to entrepreneurs in surrounding community.    ",1003754,Final Review,3754-06,0017000001LSVowAAH,a2C39000002zYsyEAE,01239000000Ap02AAC,The Lemelson Foundation
